시도,주소,학교명,상태,위도,경도
경기,경기도 광명시 너부대로 5. 광명서초등학교 (광명동.광명서초등학교),광명서초등학교,1,37.47817467,126.8469529
경기,경기도 광명시 덕단이로 29(광명동.광문초등학교),광문초등학교,1,37.46658997,126.8515659
경기,경기도 양주시 고읍남로191번길 12. 광사초등학교 (광사동),광사초등학교,1,37.79125357,127.0837821
강원,강원도 고성군 간성읍 진부령로2427,광산초등학교,1,38.37481725,128.4132719
강원,강원도 고성군 간성읍 흘리령길3-15,광산초등학교흘리분교장,1,38.26649857,128.3742231
경기,경기도 안성시 죽산면 두교리203-1,광선초등학교,1,37.00808995,127.4329632
경기,경기도 양주시 삼숭로58번길 100. 광숭초등학교 (삼숭동),광숭초등학교,1,37.80157054,127.1070574
전남,전라남도 광양시 광영동250,광양가야초등학교,1,34.9667686,127.7130246
전남,전라남도 광양시 광양읍제철로 59(광양시 광양읍 용강리 65),광양남초등학교,1,34.96003778,127.6067459
전남,전라남도 광양시 광양읍덕례리 448,광양덕례초등학교,1,34.96866044,127.570644
전남,전라남도 광양시 광양읍인서리 221,광양동초등학교,1,34.97141138,127.5872901
전남,전라남도 광양시 진등6길 14(마동.광양마동초등학교),광양마동초등학교,1,34.95564132,127.6894379
전남,전라남도 광양시 광양읍 와룡길 60(광양읍),광양마로초등학교,1,34.96774042,127.6122295
전남,전라남도 광양시 중동1656,광양백운초등학교,1,34.9371966,127.6918186
전남,전라남도 광양시 광양읍숲샘길 29(광양읍 인서리120번지),광양서초등학교,1,34.97169453,127.5839019
전남,전라남도 광양시 광양읍 용강리608번지,광양용강초등학교,1,34.97623051,127.6102426
전남,전라남도 광양시 금호로40(광양시 금호동 624-11),광양제철남초등학교,1,34.93457819,127.7204952
전남,전라남도 광양시 마로니에길 48(금호동.광양제철초등학교),광양제철초등학교,1,34.94545194,127.7296149
전남,전라남도 광양시 중동1685,광양중동초등학교,1,34.93326622,127.6956777
전남,전라남도 광양시 중동1511,광양중마초등학교,1,34.94757819,127.6858455
전남,전라남도 광양시 중동1347-1,광양중앙초등학교,1,34.94519187,127.6940094
전남,전라남도 광양시 중동1671번지,광양중진초등학교,1,34.9329219,127.6928378
